x Tfem Texact
0 0 0
0.0005 3.968741556e-06 3.968749112e-06
0.001 7.957376261e-06 7.957391369e-06
0.0015 1.196600308e-05 1.196602574e-05
0.002 1.599472097e-05 1.599475117e-05
0.0025 2.004362888e-05 2.004366662e-05
0.003 2.411282576e-05 2.411287104e-05
0.0035 2.820241055e-05 2.820246337e-05
0.004 3.231248219e-05 3.231254254e-05
0.0045 3.644313961e-05 3.644320749e-05
0.005 4.059448174e-05 4.059455715e-05
0.0055 4.47666075e-05 4.476669043e-05
0.006 4.89596158e-05 4.895970624e-05
0.0065 5.317360556e-05 5.317370351e-05
0.007 5.740867567e-05 5.740878114e-05
0.0075 6.166492504e-05 6.166503801e-05
0.008 6.594245257e-05 6.594257304e-05
0.0085 7.024135712e-05 7.024148509e-05
0.009 7.456173761e-05 7.456187307e-05
0.0095 7.890369288e-05 7.890383584e-05
0.01 8.326732183e-05 8.326747227e-05
0.0105 8.765272331e-05 8.765288124e-05
0.011 9.205999619e-05 9.20601616e-05
0.0115 9.648923931e-05 9.64894122e-05
0.012 0.0001009405515 0.0001009407319
0.0125 0.0001054140317 0.0001054142195
0.013 0.0001099097786 0.0001099099739
0.0135 0.0001144278912 0.0001144280939
0.014 0.0001189684681 0.0001189686784
0.0145 0.0001235316084 0.000123531826
0.015 0.0001281174107 0.0001281176358
0.0155 0.0001327259738 0.0001327262064
0.016 0.0001373573967 0.0001373576367
0.0165 0.000142011778 0.0001420120254
0.017 0.0001466892165 0.0001466894714
0.0175 0.0001513898111 0.0001513900734
0.018 0.0001561136606 0.0001561139303
0.0185 0.0001608608636 0.0001608611407
0.019 0.0001656315189 0.0001656318035
0.0195 0.0001704257254 0.0001704260174
0.02 0.0001752435818 0.0001752438811
0.0205 0.0001800851867 0.0001800854935
0.021 0.000184950639 0.0001849509532
0.0215 0.0001898400374 0.000189840359
0.022 0.0001947534806 0.0001947538096
0.0225 0.0001996910674 0.0001996914037
0.023 0.0002046528964 0.0002046532401
0.0235 0.0002096390663 0.0002096394174
0.024 0.0002146496759 0.0002146500344
0.0245 0.0002196848238 0.0002196851897
0.025 0.0002247446088 0.0002247449821
0.0255 0.0002298291296 0.0002298295102
0.026 0.0002349384847 0.0002349388726
0.0265 0.0002400727728 0.0002400731682
0.027 0.0002452320928 0.0002452324954
0.0275 0.000250416543 0.0002504169531
0.028 0.0002556262224 0.0002556266397
0.0285 0.0002608612294 0.0002608616541
0.029 0.0002661216627 0.0002661220947
0.0295 0.0002714076209 0.0002714080603
0.03 0.0002767192027 0.0002767196494
0.0305 0.0002820565067 0.0002820569607
0.031 0.0002874196315 0.0002874200928
0.0315 0.0002928086756 0.0002928091442
0.032 0.0002982237377 0.0002982242136
0.0325 0.0003036649164 0.0003036653996
0.033 0.0003091323102 0.0003091328007
0.0335 0.0003146260177 0.0003146265155
0.034 0.0003201461375 0.0003201466426
0.0345 0.0003256927681 0.0003256932805
0.035 0.0003312660082 0.0003312665278
0.0355 0.0003368659561 0.000336866483
0.036 0.0003424927105 0.0003424932447
0.0365 0.0003481463699 0.0003481469114
0.037 0.0003538270328 0.0003538275815
0.0375 0.0003595347978 0.0003595353537
0.038 0.0003652697633 0.0003652703265
0.0385 0.0003710320278 0.0003710325982
0.039 0.0003768216898 0.0003768222675
0.0395 0.0003826388478 0.0003826394328
0.04 0.0003884836004 0.0003884841925
0.0405 0.0003943560459 0.0003943566453
0.041 0.0004002562828 0.0004002568894
0.0415 0.0004061844095 0.0004061850234
0.042 0.0004121405246 0.0004121411456
0.0425 0.0004181247264 0.0004181253547
0.043 0.0004241371134 0.0004241377489
0.0435 0.0004301777841 0.0004301784267
0.044 0.0004362468367 0.0004362474865
0.0445 0.0004423443697 0.0004423450268
0.045 0.0004484704816 0.0004484711458
0.0455 0.0004546252707 0.0004546259421
0.046 0.0004608088354 0.0004608095139
0.0465 0.000467021274 0.0004670219597
0.047 0.000473262685 0.0004732633779
0.0475 0.0004795331667 0.0004795338667
0.048 0.0004858328174 0.0004858335245
0.0485 0.0004921617354 0.0004921624498
0.049 0.0004985200192 0.0004985207407
0.0495 0.0005049077671 0.0005049084957
0.05 0.0005113250773 0.000511325813
0.0505 0.0005177720481 0.0005177727909
0.051 0.0005242487779 0.0005242495279
0.0515 0.000530755365 0.000530756122
0.052 0.0005372919076 0.0005372926717
0.0525 0.000543858504 0.0005438592752
0.053 0.0005504552524 0.0005504560308
0.0535 0.0005570822512 0.0005570830367
0.054 0.0005637395986 0.0005637403911
0.0545 0.0005704273928 0.0005704281924
0.055 0.000577145732 0.0005771465387
0.0555 0.0005838947145 0.0005838955282
0.056 0.0005906744384 0.0005906752593
0.0565 0.0005974850021 0.00059748583
0.057 0.0006043265036 0.0006043273385
0.0575 0.0006111990412 0.0006111998831
0.058 0.0006181027129 0.000618103562
0.0585 0.0006250376171 0.0006250384732
0.059 0.0006320038519 0.000632004715
0.0595 0.0006390015153 0.0006390023854
0.06 0.0006460307056 0.0006460315828
0.0605 0.0006530915209 0.000653092405
0.061 0.0006601840593 0.0006601849504
0.0615 0.0006673084188 0.000667309317
0.062 0.0006744646977 0.0006744656028
0.0625 0.000681652994 0.0006816539061
0.063 0.0006888734057 0.0006888743248
0.0635 0.000696126031 0.0006961269571
0.064 0.0007034109679 0.0007034119009
0.0645 0.0007107283145 0.0007107292545
0.065 0.0007180781688 0.0007180791157
0.0655 0.0007254606288 0.0007254615827
0.066 0.0007328757926 0.0007328767535
0.0665 0.0007403237582 0.000740324726
0.067 0.0007478046235 0.0007478055983
